date_key,full_date,year,quarter,month,day,weekday
1,2014-11-14,2014,Q4,11,14,Friday
2,2014-02-20,2014,Q1,02,20,Thursday
3,2014-11-12,2014,Q4,11,12,Wednesday
4,2015-10-28,2015,Q4,10,28,Wednesday
5,2012-10-17,2012,Q4,10,17,Wednesday
6,2015-02-04,2015,Q1,02,4,Wednesday
7,2014-10-31,2014,Q4,10,31,Friday
8,2013-09-04,2013,Q3,09,4,Wednesday
9,2014-12-04,2014,Q4,12,4,Thursday
10,2015-01-27,2015,Q1,01,27,Tuesday
11,2013-06-20,2013,Q2,06,20,Thursday
12,2015-11-25,2015,Q4,11,25,Wednesday
13,2012-06-27,2012,Q2,06,27,Wednesday
14,2015-02-27,2015,Q1,02,27,Friday
15,2012-02-02,2012,Q1,02,2,Thursday
16,2013-10-06,2013,Q4,10,6,Sunday
17,2014-10-26,2014,Q4,10,26,Sunday
18,2015-06-21,2015,Q2,06,21,Sunday
19,2013-03-16,2013,Q1,03,16,Saturday
20,2014-11-24,2014,Q4,11,24,Monday
21,2015-06-04,2015,Q2,06,4,Thursday
22,2013-12-01,2013,Q4,12,1,Sunday
23,2013-12-06,2013,Q4,12,6,Friday
24,2014-10-12,2014,Q4,10,12,Sunday
25,2013-11-03,2013,Q4,11,3,Sunday
26,2015-12-29,2015,Q4,12,29,Tuesday
27,2012-05-13,2012,Q2,05,13,Sunday
28,2014-06-23,2014,Q2,06,23,Monday
29,2015-12-20,2015,Q4,12,20,Sunday
30,2015-03-10,2015,Q1,03,10,Tuesday
31,2015-07-21,2015,Q3,07,21,Tuesday
32,2013-02-17,2013,Q1,02,17,Sunday
33,2014-02-23,2014,Q1,02,23,Sunday
34,2012-05-08,2012,Q2,05,8,Tuesday
35,2014-07-10,2014,Q3,07,10,Thursday
36,2012-08-09,2012,Q3,08,9,Thursday
37,2013-11-24,2013,Q4,11,24,Sunday
38,2013-07-24,2013,Q3,07,24,Wednesday
39,2014-07-31,2014,Q3,07,31,Thursday
40,2012-03-27,2012,Q1,03,27,Tuesday
