product_key,Product ID,Product Name,Category,Sub-Category
1,TEC-PH-5816,Samsung Convoy 3,Technology,Phones
2,FUR-CH-5379,"Novimex Executive Leather Armchair, Black",Furniture,Chairs
3,TEC-PH-5356,"Nokia Smart Phone, with Caller ID",Technology,Phones
4,TEC-PH-5267,"Motorola Smart Phone, Cordless",Technology,Phones
5,TEC-CO-6011,"Sharp Wireless Fax, High-Speed",Technology,Copiers
6,TEC-PH-5842,"Samsung Smart Phone, with Caller ID",Technology,Phones
7,FUR-CH-5378,"Novimex Executive Leather Armchair, Adjustable",Furniture,Chairs
8,FUR-TA-3764,"Chromcraft Conference Table, Fully Assembled",Furniture,Tables
9,FUR-BO-5957,"Sauder Facets Collection Library, Sky Alder Finish",Furniture,Bookcases
10,FUR-CH-4421,"Global Push Button Manager's Chair, Indigo",Furniture,Chairs
11,OFF-AR-5309,Newell 330,Office Supplies,Art
12,FUR-TA-3420,"Bevis Conference Table, Fully Assembled",Furniture,Tables
13,TEC-PH-3807,"Cisco Smart Phone, with Caller ID",Technology,Phones
14,FUR-CH-4530,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs
15,OFF-AP-4959,"KitchenAid Microwave, White",Office Supplies,Appliances
16,OFF-AP-3575,"Breville Refrigerator, Red",Office Supplies,Appliances
17,OFF-ST-3078,Akro Stacking Bins,Office Supplies,Storage
18,OFF-AP-4743,"Hoover Stove, Red",Office Supplies,Appliances
19,TEC-CO-3597,"Brother Fax Machine, High-Speed",Technology,Copiers
20,OFF-AP-4967,"KitchenAid Stove, White",Office Supplies,Appliances
21,FUR-TA-4644,"Hon Computer Table, with Bottom Storage",Furniture,Tables
22,OFF-ST-3744,"Carina 42""Hx23 3/4""W Media Storage Unit",Office Supplies,Storage
23,FUR-CH-5774,"SAFCO Executive Leather Armchair, Black",Furniture,Chairs
24,OFF-AP-4960,"KitchenAid Refrigerator, Black",Office Supplies,Appliances
25,TEC-PH-5268,"Motorola Smart Phone, Full Size",Technology,Phones
26,FUR-TA-4643,"Hon Computer Table, Fully Assembled",Furniture,Tables
27,FUR-TA-5060,"Lesro Conference Table, with Bottom Storage",Furniture,Tables
